country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Alipur, Delhi - DPCC","09-04-2026 11:00:00",28.815329,77.153010,NO2,16,37,23
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","09-04-2026 11:00:00",28.695381,77.181665,PM2.5,40,312,81
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","09-04-2026 11:00:00",28.695381,77.181665,NH3,6,7,7
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","09-04-2026 11:00:00",28.695381,77.181665,SO2,10,28,15
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","09-04-2026 11:00:00",22.348441,82.549611,CO,16,28,17
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","09-04-2026 11:00:00",22.126650,83.483212,PM10,27,67,46
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","09-04-2026 11:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","09-04-2026 11:00:00",22.126650,83.483212,SO2,11,20,16
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","09-04-2026 11:00:00",28.656756,77.227234,PM2.5,17,55,36
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","09-04-2026 11:00:00",28.656756,77.227234,PM10,63,135,105
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","09-04-2026 11:00:00",21.219665,81.630094,NO2,22,41,28
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","09-04-2026 11:00:00",22.348441,82.549611,PM10,19,62,37
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","09-04-2026 11:00:00","28.594169 ","77.125100 ",SO2,22,26,24
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","09-04-2026 11:00:00",28.636429,77.201067,OZONE,8,110,17
India,Delhi,Delhi,"Mundka, Delhi - DPCC","09-04-2026 11:00:00",28.684678,77.076574,OZONE,4,84,10
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","09-04-2026 11:00:00",28.60909,77.0325413,PM2.5,49,83,65
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","09-04-2026 11:00:00",28.60909,77.0325413,PM10,61,267,105
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","09-04-2026 11:00:00",28.60909,77.0325413,NO2,73,119,92
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","09-04-2026 11:00:00",28.60909,77.0325413,NH3,4,11,8
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","09-04-2026 11:00:00",28.60909,77.0325413,SO2,4,9,7
India,Delhi,Delhi,"JNU, Delhi - DPCC","09-04-2026 11:00:00","28.540721 ","77.168544 ",SO2,17,19,18
India,Delhi,Delhi,"JNU, Delhi - DPCC","09-04-2026 11:00:00","28.540721 ","77.168544 ",CO,114,117,116
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","09-04-2026 11:00:00",28.732820,77.170633,PM10,77,182,116
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","09-04-2026 11:00:00",28.732820,77.170633,NH3,9,12,10
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","09-04-2026 11:00:00",28.580280,77.233829,PM2.5,40,95,60
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","09-04-2026 11:00:00","28.594004 ","76.909423 ",PM10,44,118,76
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","09-04-2026 11:00:00","28.594004 ","76.909423 ",NO2,4,68,28
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","09-04-2026 11:00:00",28.570173,76.933762,PM10,30,96,61
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","09-04-2026 11:00:00",28.570173,76.933762,SO2,8,74,13
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","09-04-2026 11:00:00",28.570173,76.933762,CO,16,107,33
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","09-04-2026 11:00:00",28.570173,76.933762,OZONE,11,126,26
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","09-04-2026 11:00:00","28.615828 ","77.271992 ",NO2,12,109,50
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","09-04-2026 11:00:00","28.615828 ","77.271992 ",NH3,2,6,4
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","09-04-2026 11:00:00","28.615828 ","77.271992 ",SO2,24,28,25
India,Delhi,Delhi,"DTU, Delhi - CPCB","09-04-2026 11:00:00",28.7500499,77.1112615,PM2.5,43,233,101
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","09-04-2026 11:00:00","28.493624 ","77.201159 ",NH3,2,5,3
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","09-04-2026 11:00:00","28.493624 ","77.201159 ",SO2,35,40,36
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","09-04-2026 11:00:00","28.493624 ","77.201159 ",CO,26,48,36
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","09-04-2026 11:00:00",28.6811736,77.3025234,NO2,40,92,56
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","09-04-2026 11:00:00",28.567890,77.250515,SO2,2,26,9
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","09-04-2026 11:00:00",28.6573814,77.1585447,OZONE,4,137,16
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","09-04-2026 11:00:00",28.6811736,77.3025234,SO2,2,33,17
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","09-04-2026 11:00:00",28.6811736,77.3025234,CO,67,147,113
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","09-04-2026 11:00:00",28.580280,77.233829,CO,38,60,46
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","09-04-2026 11:00:00",28.580280,77.233829,OZONE,7,153,19
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","09-04-2026 11:00:00",28.611281,77.237738,CO,53,86,62
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","09-04-2026 11:00:00",28.672342,77.315260,SO2,12,64,26
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","09-04-2026 11:00:00",28.699793,77.165453,OZONE,15,107,22
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","09-04-2026 11:00:00",22.977134,72.553024,SO2,18,94,40
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","09-04-2026 11:00:00",22.977134,72.553024,CO,28,99,70
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","09-04-2026 11:00:00",22.977134,72.553024,OZONE,1,20,6
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","09-04-2026 11:00:00",23.002657,72.591912,PM2.5,38,175,89
India,Delhi,Delhi,"Pusa, Delhi - DPCC","09-04-2026 11:00:00",28.639652,77.146275,CO,44,96,74
